problem_name,constructive_heuristic,perturbative_heuristic,best_cost,average_cost,worst_cost
eil101.tsp,NearestNeighbour,NodeSwap,722.47,747.07,778.99
eil101.tsp,NearestNeighbour,NodeShift,690.20,701.49,721.86
eil101.tsp,SemiGreedyNearestNeighbour,---,1063.09,1135.39,1233.17
eil101.tsp,SemiGreedyNearestNeighbour,TwoOpt,688.28,702.03,721.43
eil101.tsp,SemiGreedyNearestNeighbour,NodeSwap,743.21,800.90,886.25
eil101.tsp,SemiGreedyNearestNeighbour,NodeShift,712.34,751.79,774.28
eil101.tsp,CheapestInsertion,---,723.93,731.86,740.67
eil101.tsp,CheapestInsertion,TwoOpt,686.31,702.91,717.77
eil101.tsp,CheapestInsertion,NodeSwap,689.19,707.90,730.14
eil101.tsp,CheapestInsertion,NodeShift,660.51,681.39,693.41
eil101.tsp,SemiGreedyCheapestInsertion,---,731.89,752.76,767.28
eil101.tsp,SemiGreedyCheapestInsertion,TwoOpt,679.47,689.96,712.11
eil101.tsp,SemiGreedyCheapestInsertion,NodeSwap,687.06,706.70,720.34
eil101.tsp,SemiGreedyCheapestInsertion,NodeShift,661.39,680.25,692.12
eil101.tsp,RandomInsertion,---,683.69,703.67,716.10
eil101.tsp,RandomInsertion,TwoOpt,678.40,685.57,699.04
eil101.tsp,RandomInsertion,NodeSwap,668.61,682.85,704.09
eil101.tsp,RandomInsertion,NodeShift,659.56,671.29,688.70
eil101.tsp,MSTSimple,---,827.12,841.43,863.87
eil101.tsp,MSTSimple,TwoOpt,674.76,681.37,691.65
eil101.tsp,MSTSimple,NodeSwap,706.20,730.51,755.29
eil101.tsp,MSTSimple,NodeShift,709.21,723.46,744.11
eil51.tsp,NearestNeighbour,---,520.02,546.12,585.79
eil51.tsp,NearestNeighbour,TwoOpt,438.01,452.74,463.22
eil51.tsp,NearestNeighbour,NodeSwap,484.23,510.17,549.61
eil51.tsp,NearestNeighbour,NodeShift,436.95,469.91,483.77
eil51.tsp,SemiGreedyNearestNeighbour,---,700.03,740.96,804.10
eil51.tsp,SemiGreedyNearestNeighbour,TwoOpt,449.96,466.50,493.31
eil51.tsp,SemiGreedyNearestNeighbour,NodeSwap,505.00,528.67,549.69
eil51.tsp,SemiGreedyNearestNeighbour,NodeShift,454.27,473.75,517.83
eil51.tsp,CheapestInsertion,---,474.00,486.11,496.25
eil51.tsp,CheapestInsertion,TwoOpt,451.86,459.76,480.10
eil51.tsp,CheapestInsertion,NodeSwap,462.60,472.02,480.25
eil51.tsp,CheapestInsertion,NodeShift,435.39,448.01,458.38
eil51.tsp,SemiGreedyCheapestInsertion,---,458.15,510.76,548.07
eil51.tsp,SemiGreedyCheapestInsertion,TwoOpt,447.51,464.19,486.57
eil51.tsp,SemiGreedyCheapestInsertion,NodeSwap,452.01,476.03,494.56
eil51.tsp,SemiGreedyCheapestInsertion,NodeShift,437.95,456.58,481.06
eil51.tsp,RandomInsertion,---,452.22,463.47,485.13
eil51.tsp,RandomInsertion,TwoOpt,444.25,453.48,468.35
eil51.tsp,RandomInsertion,NodeSwap,442.83,450.96,461.43
eil51.tsp,RandomInsertion,NodeShift,431.17,440.01,446.50
eil51.tsp,MSTSimple,---,604.94,627.19,640.90
eil51.tsp,MSTSimple,TwoOpt,447.85,455.81,464.46
eil51.tsp,MSTSimple,NodeSwap,511.12,536.09,556.09
eil51.tsp,MSTSimple,NodeShift,479.57,492.01,508.55
eil76.tsp,NearestNeighbour,---,636.88,654.59,697.84
eil76.tsp,NearestNeighbour,TwoOpt,560.98,583.46,620.28
eil76.tsp,NearestNeighbour,NodeSwap,594.63,627.29,667.73
eil76.tsp,NearestNeighbour,NodeShift,571.60,590.33,618.02
eil76.tsp,SemiGreedyNearestNeighbour,---,910.31,956.79,1009.09
eil76.tsp,SemiGreedyNearestNeighbour,TwoOpt,575.83,592.17,610.66
eil76.tsp,SemiGreedyNearestNeighbour,NodeSwap,666.29,695.81,750.02
eil76.tsp,SemiGreedyNearestNeighbour,NodeShift,607.89,631.89,647.78
eil76.tsp,CheapestInsertion,---,605.20,617.22,629.54
eil76.tsp,CheapestInsertion,TwoOpt,579.15,594.43,606.65
eil76.tsp,CheapestInsertion,NodeSwap,589.66,603.56,614.71
eil76.tsp,CheapestInsertion,NodeShift,566.48,577.88,585.92
eil76.tsp,SemiGreedyCheapestInsertion,---,613.97,652.47,676.99
eil76.tsp,SemiGreedyCheapestInsertion,TwoOpt,575.44,587.40,595.18
eil76.tsp,SemiGreedyCheapestInsertion,NodeSwap,589.46,611.65,632.08
eil76.tsp,SemiGreedyCheapestInsertion,NodeShift,580.01,591.08,603.10
eil76.tsp,RandomInsertion,---,578.15,596.46,618.71
eil76.tsp,RandomInsertion,TwoOpt,574.89,586.65,611.72
eil76.tsp,RandomInsertion,NodeSwap,574.32,595.97,623.41
eil76.tsp,RandomInsertion,NodeShift,561.20,571.45,585.98
eil76.tsp,MSTSimple,---,671.75,698.03,707.15
eil76.tsp,MSTSimple,TwoOpt,578.65,591.42,600.77
eil76.tsp,MSTSimple,NodeSwap,605.40,621.07,637.91
eil76.tsp,MSTSimple,NodeShift,595.30,606.11,622.12
kroA100.tsp,NearestNeighbour,---,25526.92,27261.75,28375.43
kroA100.tsp,NearestNeighbour,TwoOpt,22195.74,22654.74,23713.53
kroA100.tsp,NearestNeighbour,NodeSwap,22586.91,23899.75,25510.78
kroA100.tsp,NearestNeighbour,NodeShift,23403.80,24618.77,26091.20
kroA100.tsp,SemiGreedyNearestNeighbour,---,42263.74,44884.39,49502.92
kroA100.tsp,SemiGreedyNearestNeighbour,TwoOpt,22290.13,23198.75,24152.44
kroA100.tsp,SemiGreedyNearestNeighbour,NodeSwap,26289.75,29841.50,34204.58
kroA100.tsp,SemiGreedyNearestNeighbour,NodeShift,24144.86,26390.83,30727.87
kroA100.tsp,CheapestInsertion,---,24451.43,25166.30,26214.45
kroA100.tsp,CheapestInsertion,TwoOpt,23088.70,23468.38,24021.95
kroA100.tsp,CheapestInsertion,NodeSwap,23088.70,23757.22,24113.15
kroA100.tsp,CheapestInsertion,NodeShift,22139.75,22513.22,23136.78
kroA100.tsp,SemiGreedyCheapestInsertion,---,26468.24,28035.03,29217.80
kroA100.tsp,SemiGreedyCheapestInsertion,TwoOpt,22176.20,23410.56,25928.05
kroA100.tsp,SemiGreedyCheapestInsertion,NodeSwap,23703.03,25960.37,27459.35
kroA100.tsp,SemiGreedyCheapestInsertion,NodeShift,22813.27,24316.72,25523.73
kroA100.tsp,RandomInsertion,---,22121.22,22605.30,23777.02
kroA100.tsp,RandomInsertion,TwoOpt,21662.74,22589.62,24265.87
kroA100.tsp,RandomInsertion,NodeSwap,21821.53,22801.81,24228.12
kroA100.tsp,RandomInsertion,NodeShift,21846.08,22239.04,22980.83
kroA100.tsp,MSTSimple,---,26812.90,27600.85,28468.38
kroA100.tsp,MSTSimple,TwoOpt,22500.70,22902.67,23365.86
kroA100.tsp,MSTSimple,NodeSwap,24821.49,25304.19,26003.59
kroA100.tsp,MSTSimple,NodeShift,24212.57,24713.52,24940.21
kroB100.tsp,NearestNeighbour,---,26980.68,28231.27,30090.17
kroB100.tsp,NearestNeighbour,TwoOpt,22623.56,23430.62,24799.57
kroB100.tsp,NearestNeighbour,NodeSwap,25615.97,28040.58,29928.12
kroB100.tsp,NearestNeighbour,NodeShift,24286.76,25166.49,27024.22
kroB100.tsp,SemiGreedyNearestNeighbour,---,41867.82,46276.59,49976.72
kroB100.tsp,SemiGreedyNearestNeighbour,TwoOpt,23417.22,24251.38,25048.80
kroB100.tsp,SemiGreedyNearestNeighbour,NodeSwap,26603.89,30068.58,33923.61
kroB100.tsp,SemiGreedyNearestNeighbour,NodeShift,25443.64,27703.77,29381.55
kroB100.tsp,CheapestInsertion,---,24777.03,25253.79,26065.49
kroB100.tsp,CheapestInsertion,TwoOpt,23273.56,23760.49,24155.21
kroB100.tsp,CheapestInsertion,NodeSwap,24468.71,24662.87,25430.67
kroB100.tsp,CheapestInsertion,NodeShift,23807.27,24172.69,24546.82
kroB100.tsp,SemiGreedyCheapestInsertion,---,27251.91,28659.94,30726.10
kroB100.tsp,SemiGreedyCheapestInsertion,TwoOpt,22813.88,24031.50,24601.69
kroB100.tsp,SemiGreedyCheapestInsertion,NodeSwap,24353.03,25543.01,26963.59
kroB100.tsp,SemiGreedyCheapestInsertion,NodeShift,23913.59,24613.58,25497.39
kroB100.tsp,RandomInsertion,---,23155.34,24209.72,24953.33
kroB100.tsp,RandomInsertion,TwoOpt,22824.14,23390.33,23910.67
kroB100.tsp,RandomInsertion,NodeSwap,22663.99,23421.95,24777.14
kroB100.tsp,RandomInsertion,NodeShift,22712.14,23258.46,23738.63
kroB100.tsp,MSTSimple,---,25177.91,26195.60,27448.82
kroB100.tsp,MSTSimple,TwoOpt,22886.97,23246.88,23723.37
kroB100.tsp,MSTSimple,NodeSwap,24096.14,25147.76,25663.08
kroB100.tsp,MSTSimple,NodeShift,22609.95,23685.50,24314.18
kroC100.tsp,NearestNeighbour,---,24192.61,26525.74,28752.49
kroC100.tsp,NearestNeighbour,TwoOpt,21504.81,22295.28,22852.40
kroC100.tsp,NearestNeighbour,NodeSwap,23164.50,25124.01,27189.46
kroC100.tsp,NearestNeighbour,NodeShift,22005.19,23173.91,25396.78
kroC100.tsp,SemiGreedyNearestNeighbour,---,40781.41,44091.03,50162.33
kroC100.tsp,SemiGreedyNearestNeighbour,TwoOpt,22400.73,23021.97,24432.88
kroC100.tsp,SemiGreedyNearestNeighbour,NodeSwap,26731.05,28767.88,31366.44
kroC100.tsp,SemiGreedyNearestNeighbour,NodeShift,23501.22,27325.87,29141.29
kroC100.tsp,CheapestInsertion,---,25116.14,25403.60,25845.27
kroC100.tsp,CheapestInsertion,TwoOpt,23769.39,24085.60,24832.88
kroC100.tsp,CheapestInsertion,NodeSwap,24404.38,24697.03,25014.81
kroC100.tsp,CheapestInsertion,NodeShift,22915.97,23267.57,23568.95
kroC100.tsp,SemiGreedyCheapestInsertion,---,26554.09,27564.82,28228.04
kroC100.tsp,SemiGreedyCheapestInsertion,TwoOpt,22809.04,23570.54,24378.91
kroC100.tsp,SemiGreedyCheapestInsertion,NodeSwap,23483.75,25316.02,27559.73
kroC100.tsp,SemiGreedyCheapestInsertion,NodeShift,22898.34,23873.08,24930.37
kroC100.tsp,RandomInsertion,---,21649.59,22534.39,23519.27
kroC100.tsp,RandomInsertion,TwoOpt,20769.86,21743.54,22305.45
kroC100.tsp,RandomInsertion,NodeSwap,21662.33,22479.69,23476.95
kroC100.tsp,RandomInsertion,NodeShift,21406.34,22001.95,23045.10
kroC100.tsp,MSTSimple,---,27595.68,28064.42,28459.84
kroC100.tsp,MSTSimple,TwoOpt,22036.31,22898.28,24036.19
kroC100.tsp,MSTSimple,NodeSwap,25647.46,26191.34,27031.13
kroC100.tsp,MSTSimple,NodeShift,23807.19,24410.90,24885.02
kroD100.tsp,NearestNeighbour,---,25125.34,27347.36,28624.75
