problem_name,constructive_heuristic,perturbative_heuristic,best_cost,average_cost,worst_cost
ch150.tsp,SemiGreedyCheapestInsertion,---,8183.43,8688.64,9151.90
ch150.tsp,SemiGreedyCheapestInsertion,TwoOpt,6785.48,7247.88,7549.20
ch150.tsp,SemiGreedyCheapestInsertion,NodeSwap,7266.94,7715.93,8096.03
ch150.tsp,SemiGreedyCheapestInsertion,NodeShift,6994.75,7335.06,7524.08
ch150.tsp,SemiGreedyRandomInsertion,---,10093.60,10389.60,10792.61
ch150.tsp,SemiGreedyRandomInsertion,TwoOpt,7073.70,7279.41,7456.86
ch150.tsp,SemiGreedyRandomInsertion,NodeSwap,7933.13,8469.84,8859.02
ch150.tsp,SemiGreedyRandomInsertion,NodeShift,7322.53,7552.64,7898.98
ch150.tsp,MSTSimple,---,8378.60,8479.40,8668.82
ch150.tsp,MSTSimple,TwoOpt,6781.50,6945.65,7190.47
ch150.tsp,MSTSimple,NodeSwap,7649.15,7784.09,7890.68
ch150.tsp,MSTSimple,NodeShift,7241.86,7443.28,7628.50
eil101.tsp,NearestNeighbour,---,736.37,774.80,804.43
eil101.tsp,NearestNeighbour,TwoOpt,676.46,687.89,709.97
eil101.tsp,NearestNeighbour,NodeSwap,723.72,739.44,761.73
eil101.tsp,NearestNeighbour,NodeShift,687.65,711.34,746.70
eil101.tsp,SemiGreedyNearestNeighbour,---,1013.47,1104.60,1266.42
eil101.tsp,SemiGreedyNearestNeighbour,TwoOpt,681.46,698.21,713.05
eil101.tsp,SemiGreedyNearestNeighbour,NodeSwap,733.64,807.79,883.16
eil101.tsp,SemiGreedyNearestNeighbour,NodeShift,724.00,756.91,800.62
eil101.tsp,CheapestInsertion,---,706.19,729.81,742.75
eil101.tsp,CheapestInsertion,TwoOpt,686.31,702.16,717.42
eil101.tsp,CheapestInsertion,NodeSwap,686.19,701.62,724.93
eil101.tsp,CheapestInsertion,NodeShift,660.51,676.95,688.37
eil101.tsp,SemiGreedyCheapestInsertion,---,752.08,775.23,804.99
eil101.tsp,SemiGreedyCheapestInsertion,TwoOpt,685.52,697.53,716.23
eil101.tsp,SemiGreedyCheapestInsertion,NodeSwap,682.70,698.02,708.60
eil101.tsp,SemiGreedyCheapestInsertion,NodeShift,670.72,684.71,701.59
eil101.tsp,SemiGreedyRandomInsertion,---,913.64,943.20,977.34
eil101.tsp,SemiGreedyRandomInsertion,TwoOpt,676.09,696.67,717.08
eil101.tsp,SemiGreedyRandomInsertion,NodeSwap,728.36,774.87,825.70
eil101.tsp,SemiGreedyRandomInsertion,NodeShift,691.76,715.18,731.29
eil101.tsp,MSTSimple,---,839.65,847.17,858.89
eil101.tsp,MSTSimple,TwoOpt,666.21,680.24,700.72
eil101.tsp,MSTSimple,NodeSwap,706.20,744.27,773.82
eil101.tsp,MSTSimple,NodeShift,704.25,728.21,740.87
eil51.tsp,NearestNeighbour,---,514.82,553.95,586.82
eil51.tsp,NearestNeighbour,TwoOpt,436.35,453.67,469.69
eil51.tsp,NearestNeighbour,NodeSwap,490.31,510.82,541.37
eil51.tsp,NearestNeighbour,NodeShift,436.95,467.47,491.95
eil51.tsp,SemiGreedyNearestNeighbour,---,657.36,789.97,926.34
eil51.tsp,SemiGreedyNearestNeighbour,TwoOpt,438.97,453.33,468.07
eil51.tsp,SemiGreedyNearestNeighbour,NodeSwap,489.97,544.25,605.66
eil51.tsp,SemiGreedyNearestNeighbour,NodeShift,451.22,473.86,491.11
eil51.tsp,CheapestInsertion,---,481.61,490.23,503.51
eil51.tsp,CheapestInsertion,TwoOpt,450.69,459.37,480.10
eil51.tsp,CheapestInsertion,NodeSwap,462.60,471.77,488.42
