problem_name,constructive_heuristic,perturbative_heuristic,best_cost,average_cost,worst_cost
eil101.tsp,SemiGreedyCheapestInsertion,NodeShift,662.19,685.95,703.84
eil101.tsp,SemiGreedyRandomInsertion,---,917.51,933.20,948.42
eil101.tsp,SemiGreedyRandomInsertion,TwoOpt,677.68,697.02,720.69
eil101.tsp,SemiGreedyRandomInsertion,NodeSwap,737.47,764.17,791.17
eil101.tsp,SemiGreedyRandomInsertion,NodeShift,683.10,711.46,734.98
eil101.tsp,MSTSimple,---,822.12,835.36,849.19
eil101.tsp,MSTSimple,TwoOpt,667.51,684.22,696.43
eil101.tsp,MSTSimple,NodeSwap,706.20,740.46,776.90
eil101.tsp,MSTSimple,NodeShift,718.41,730.66,744.11
eil51.tsp,NearestNeighbour,---,505.77,557.16,585.79
eil51.tsp,NearestNeighbour,TwoOpt,440.90,450.61,468.42
eil51.tsp,NearestNeighbour,NodeSwap,488.61,512.32,553.99
eil51.tsp,NearestNeighbour,NodeShift,436.95,468.68,500.93
eil51.tsp,SemiGreedyNearestNeighbour,---,694.79,753.90,867.60
eil51.tsp,SemiGreedyNearestNeighbour,TwoOpt,441.25,459.81,496.97
eil51.tsp,SemiGreedyNearestNeighbour,NodeSwap,478.58,520.06,553.86
eil51.tsp,SemiGreedyNearestNeighbour,NodeShift,451.00,487.21,554.70
eil51.tsp,CheapestInsertion,---,474.00,488.63,505.59
eil51.tsp,CheapestInsertion,TwoOpt,452.02,462.07,476.75
eil51.tsp,CheapestInsertion,NodeSwap,456.86,470.40,480.87
eil51.tsp,CheapestInsertion,NodeShift,440.68,449.54,458.97
eil51.tsp,SemiGreedyCheapestInsertion,---,477.20,515.37,544.60
eil51.tsp,SemiGreedyCheapestInsertion,TwoOpt,437.97,462.21,476.34
eil51.tsp,SemiGreedyCheapestInsertion,NodeSwap,457.76,476.92,495.21
eil51.tsp,SemiGreedyCheapestInsertion,NodeShift,444.83,457.51,481.06
eil51.tsp,SemiGreedyRandomInsertion,---,592.45,632.11,665.12
eil51.tsp,SemiGreedyRandomInsertion,TwoOpt,442.19,455.86,470.29
eil51.tsp,SemiGreedyRandomInsertion,NodeSwap,494.23,516.90,573.39
eil51.tsp,SemiGreedyRandomInsertion,NodeShift,450.04,464.05,487.86
eil51.tsp,MSTSimple,---,599.33,626.15,652.05
eil51.tsp,MSTSimple,TwoOpt,451.31,455.76,461.91
eil51.tsp,MSTSimple,NodeSwap,511.12,544.58,559.69
eil51.tsp,MSTSimple,NodeShift,479.57,493.01,508.91
eil76.tsp,NearestNeighbour,---,615.11,678.54,735.98
eil76.tsp,NearestNeighbour,TwoOpt,562.53,579.45,604.39
eil76.tsp,NearestNeighbour,NodeSwap,610.93,633.35,686.69
eil76.tsp,NearestNeighbour,NodeShift,579.07,598.41,626.84
eil76.tsp,SemiGreedyNearestNeighbour,---,937.28,999.79,1066.33
eil76.tsp,SemiGreedyNearestNeighbour,TwoOpt,568.59,589.60,616.11
eil76.tsp,SemiGreedyNearestNeighbour,NodeSwap,654.06,698.90,757.28
eil76.tsp,SemiGreedyNearestNeighbour,NodeShift,587.43,623.90,656.21
eil76.tsp,CheapestInsertion,---,598.69,616.60,629.54
eil76.tsp,CheapestInsertion,TwoOpt,572.94,591.37,606.65
eil76.tsp,CheapestInsertion,NodeSwap,584.93,602.49,620.85
eil76.tsp,CheapestInsertion,NodeShift,568.21,581.04,587.91
eil76.tsp,SemiGreedyCheapestInsertion,---,624.75,645.02,673.96
eil76.tsp,SemiGreedyCheapestInsertion,TwoOpt,570.43,593.29,615.55
eil76.tsp,SemiGreedyCheapestInsertion,NodeSwap,590.81,607.13,619.03
eil76.tsp,SemiGreedyCheapestInsertion,NodeShift,561.51,581.97,606.33
eil76.tsp,SemiGreedyRandomInsertion,---,766.36,802.09,820.10
eil76.tsp,SemiGreedyRandomInsertion,TwoOpt,566.62,592.24,612.29
eil76.tsp,SemiGreedyRandomInsertion,NodeSwap,618.96,656.10,721.41
eil76.tsp,SemiGreedyRandomInsertion,NodeShift,577.55,604.49,642.42
eil76.tsp,MSTSimple,---,669.24,689.13,707.77
eil76.tsp,MSTSimple,TwoOpt,582.05,591.13,609.23
eil76.tsp,MSTSimple,NodeSwap,605.40,617.03,626.13
eil76.tsp,MSTSimple,NodeShift,590.88,600.96,608.73
kroA100.tsp,NearestNeighbour,---,25526.92,26875.78,28351.02
kroA100.tsp,NearestNeighbour,TwoOpt,22275.04,22564.07,22955.91
kroA100.tsp,NearestNeighbour,NodeSwap,23145.73,24407.27,25611.36
kroA100.tsp,NearestNeighbour,NodeShift,23504.56,24177.34,26091.20
kroA100.tsp,SemiGreedyNearestNeighbour,---,38671.91,45087.34,56556.48
kroA100.tsp,SemiGreedyNearestNeighbour,TwoOpt,21692.72,22875.43,23870.61
kroA100.tsp,SemiGreedyNearestNeighbour,NodeSwap,25645.76,29436.21,32406.60
kroA100.tsp,SemiGreedyNearestNeighbour,NodeShift,26245.63,27527.90,29662.91
kroA100.tsp,CheapestInsertion,---,23962.68,25164.98,26228.31
kroA100.tsp,CheapestInsertion,TwoOpt,22529.25,23356.71,24021.95
kroA100.tsp,CheapestInsertion,NodeSwap,23088.70,23779.52,24356.48
kroA100.tsp,CheapestInsertion,NodeShift,22142.88,22899.19,23180.35
kroA100.tsp,SemiGreedyCheapestInsertion,---,26538.19,28041.81,30198.53
kroA100.tsp,SemiGreedyCheapestInsertion,TwoOpt,23018.43,23597.44,24527.69
kroA100.tsp,SemiGreedyCheapestInsertion,NodeSwap,24255.80,25370.13,26950.53
kroA100.tsp,SemiGreedyCheapestInsertion,NodeShift,23061.52,24139.56,25418.98
kroA100.tsp,SemiGreedyRandomInsertion,---,32775.58,34699.90,36208.98
kroA100.tsp,SemiGreedyRandomInsertion,TwoOpt,21990.76,23293.93,24998.23
kroA100.tsp,SemiGreedyRandomInsertion,NodeSwap,26531.95,27529.46,29528.68
kroA100.tsp,SemiGreedyRandomInsertion,NodeShift,23708.73,25099.35,27019.18
kroA100.tsp,MSTSimple,---,27162.49,27748.22,28283.41
kroA100.tsp,MSTSimple,TwoOpt,22500.70,23049.82,23774.69
kroA100.tsp,MSTSimple,NodeSwap,24821.49,25494.98,26003.59
kroA100.tsp,MSTSimple,NodeShift,24212.57,24719.28,24959.44
kroB100.tsp,NearestNeighbour,---,25890.02,27388.92,29074.13
kroB100.tsp,NearestNeighbour,TwoOpt,22465.78,23159.51,23756.63
kroB100.tsp,NearestNeighbour,NodeSwap,25180.12,26371.33,29647.10
kroB100.tsp,NearestNeighbour,NodeShift,24532.36,25792.10,27423.78
kroB100.tsp,SemiGreedyNearestNeighbour,---,40620.77,44793.18,51033.81
kroB100.tsp,SemiGreedyNearestNeighbour,TwoOpt,23399.39,24262.50,25691.98
kroB100.tsp,SemiGreedyNearestNeighbour,NodeSwap,27284.89,30321.87,33531.93
kroB100.tsp,SemiGreedyNearestNeighbour,NodeShift,25906.24,27957.16,30280.68
kroB100.tsp,CheapestInsertion,---,24806.51,25317.40,25885.39
kroB100.tsp,CheapestInsertion,TwoOpt,23825.93,24077.71,24622.12
kroB100.tsp,CheapestInsertion,NodeSwap,24476.98,24962.37,25402.56
kroB100.tsp,CheapestInsertion,NodeShift,24142.92,24303.05,24546.82
kroB100.tsp,SemiGreedyCheapestInsertion,---,26589.51,28357.40,30256.90
kroB100.tsp,SemiGreedyCheapestInsertion,TwoOpt,23459.53,24072.45,24647.87
kroB100.tsp,SemiGreedyCheapestInsertion,NodeSwap,24607.12,25786.99,26840.10
kroB100.tsp,SemiGreedyCheapestInsertion,NodeShift,23182.16,24586.43,25135.55
kroB100.tsp,SemiGreedyRandomInsertion,---,33292.87,35466.49,37136.83
kroB100.tsp,SemiGreedyRandomInsertion,TwoOpt,22908.32,23974.48,25409.81
kroB100.tsp,SemiGreedyRandomInsertion,NodeSwap,28034.38,28608.46,30344.20
kroB100.tsp,SemiGreedyRandomInsertion,NodeShift,24642.92,25829.66,27423.18
kroB100.tsp,MSTSimple,---,25950.31,26726.86,27604.42
kroB100.tsp,MSTSimple,TwoOpt,23090.54,23363.72,23782.76
kroB100.tsp,MSTSimple,NodeSwap,24096.14,25305.75,25694.39
kroB100.tsp,MSTSimple,NodeShift,23392.65,23740.04,24201.22
kroC100.tsp,NearestNeighbour,---,24173.90,25508.53,29003.93
kroC100.tsp,NearestNeighbour,TwoOpt,21382.70,22155.27,22827.97
kroC100.tsp,NearestNeighbour,NodeSwap,23997.50,25888.54,28284.07
kroC100.tsp,NearestNeighbour,NodeShift,22005.19,23112.97,25287.78
kroC100.tsp,SemiGreedyNearestNeighbour,---,41558.17,45010.23,49599.25
kroC100.tsp,SemiGreedyNearestNeighbour,TwoOpt,22056.73,22691.92,23422.67
kroC100.tsp,SemiGreedyNearestNeighbour,NodeSwap,25680.51,30246.97,34879.73
kroC100.tsp,SemiGreedyNearestNeighbour,NodeShift,24302.70,26685.69,29464.47
kroC100.tsp,CheapestInsertion,---,25116.14,25394.68,25622.52
kroC100.tsp,CheapestInsertion,TwoOpt,22882.58,23877.28,24482.78
kroC100.tsp,CheapestInsertion,NodeSwap,24441.81,24616
