trainPct,selectionStrategy,evaluationMetric,accuracyPct,constructionTime,nodeCount,treeDepth,buyingDepth,maintDepth,doorsDepth,personsDepth,lugBootDepth,safetyDepth
2,BEST,INFORMATION_GAIN,75.9008,0.2194,22,4,2.50,2.00,-1.00,0.00,-1.00,1.00
2,BEST,INFORMATION_GAIN,54.5777,0.2545,34,3,1.50,0.00,1.33,2.00,2.00,-1.00
2,BEST,INFORMATION_GAIN,65.7413,0.1957,16,3,0.00,2.00,1.00,-1.00,-1.00,1.00
2,BEST,INFORMATION_GAIN,64.0284,0.2496,24,3,1.67,1.50,-1.00,0.00,-1.00,-1.00
2,BEST,INFORMATION_GAIN,56.5859,0.5722,47,4,0.00,1.67,1.67,1.00,3.00,-1.00
2,BEST,INFORMATION_GAIN,70.8210,0.204,23,4,3.00,1.50,2.00,1.00,-1.00,0.00
2,BEST,INFORMATION_GAIN,70.8801,0.2483,19,3,1.67,-1.00,-1.00,1.00,-1.00,0.00
2,BEST,GINI_IMPURITY,61.2522,0.4075,45,5,2.00,1.67,0.00,1.00,-1.00,2.67
2,BEST,GINI_IMPURITY,74.9557,0.2655,27,4,2.50,-1.00,-1.00,1.50,2.00,0.00
2,BEST,GINI_IMPURITY,71.1164,0.2708,30,4,2.00,2.00,-1.00,0.00,3.00,1.00
2,BEST,GINI_IMPURITY,65.2688,0.2185,27,3,2.00,-1.00,1.50,-1.00,1.00,0.00
2,BEST,GINI_IMPURITY,65.5050,0.2037,27,3,2.00,2.00,1.00,1.00,-1.00,0.00
2,BEST,GINI_IMPURITY,72.9474,0.1433,15,3,2.00,1.00,-1.00,1.00,-1.00,0.00
2,BEST,GINI_IMPURITY,67.7496,0.2211,30,4,1.75,3.00,-1.00,-1.00,1.50,0.00
2,BEST,GINI_IMPURITY,65.8004,0.1971,26,4,2.00,1.50,2.00,1.00,3.00,0.00
2,BEST,GINI_IMPURITY,63.7921,0.2415,24,3,1.50,1.50,2.00,0.00,-1.00,-1.00
2,BEST,GINI_IMPURITY,72.3568,0.2492,27,4,2.50,1.00,2.00,1.00,-1.00,0.00
2,BEST,GINI_IMPURITY,66.2729,0.25,29,4,1.00,2.00,1.50,0.00,2.00,2.50
2,BEST,GINI_IMPURITY,76.1961,0.2666,33,4,2.00,2.50,3.00,1.00,3.00,0.00
2,BEST,GINI_IMPURITY,75.7826,0.1923,34,4,2.00,2.33,2.00,1.00,2.00,0.00
2,BEST,GINI_IMPURITY,69.4625,0.2099,31,4,1.67,1.50,3.00,2.00,-1.00,0.00
2,BEST,GINI_IMPURITY,73.1837,0.1331,14,3,1.00,-1.00,-1.00,0.00,2.00,1.00
2,BEST,GINI_IMPURITY,71.4117,0.224,34,4,2.33,3.00,2.00,1.00,2.00,0.00
2,BEST,GINI_IMPURITY,65.1506,0.2064,23,3,2.00,1.50,-1.00,0.00,1.00,-1.00
2,BEST,GINI_IMPURITY,70.8801,0.1674,23,4,1.50,2.00,3.00,1.00,-1.00,0.00
2,BEST,GINI_IMPURITY,71.7070,0.1999,23,4,1.00,2.00,3.00,0.00,-1.00,1.00
2,BEST,GINI_IMPURITY,65.2688,0.2069,30,4,1.50,2.00,1.00,0.00,3.00,2.00
2,TOP_THREE,INFORMATION_GAIN,60.9569,0.2288,29,3,0.00,1.00,1.50,1.67,-1.00,2.00
2,TOP_THREE,INFORMATION_GAIN,63.0833,0.2624,45,5,1.50,2.25,3.00,0.00,2.00,-1.00
2,TOP_THREE,INFORMATION_GAIN,60.4843,0.3304,55,5,2.67,0.00,1.40,2.33,2.00,2.50
2,TOP_THREE,INFORMATION_GAIN,65.5050,0.2178,25,4,1.00,-1.00,1.50,3.00,0.00,2.00
2,TOP_THREE,INFORMATION_GAIN,63.4377,0.2335,37,4,0.00,1.00,2.00,2.00,2.00,-1.00
2,TOP_THREE,INFORMATION_GAIN,68.5174,0.192,50,6,2.50,0.00,2.50,2.50,2.50,2.00
2,TOP_THREE,INFORMATION_GAIN,63.9102,0.2735,40,5,-1.00,0.00,2.00,1.33,2.67,2.67
2,TOP_THREE,INFORMATION_GAIN,67.0408,0.2451,40,6,1.00,2.67,5.00,2.50,2.00,0.00
2,TOP_THREE,INFORMATION_GAIN,76.0189,0.1453,26,4,1.50,2.00,3.00,1.00,2.00,0.00
2,TOP_THREE,INFORMATION_GAIN,65.0916,0.1933,48,5,0.00,3.00,2.00,2.67,2.25,1.50
2,TOP_THREE,INFORMATION_GAIN,69.1081,0.2196,45,5,1.00,2.33,2.00,0.00,3.00,2.75
2,TOP_THREE,INFORMATION_GAIN,59.9527,0.2047,33,4,1.00,2.00,2.00,0.00,2.50,2.00
2,TOP_THREE,INFORMATION_GAIN,50.0295,0.2156,41,5,3.00,0.00,1.00,3.00,1.80,3.00
2,TOP_THREE,INFORMATION_GAIN,69.4034,0.1719,38,4,2.33,0.00,-1.00,1.33,3.00,1.33
2,TOP_THREE,INFORMATION_GAIN,62.6108,0.1945,38,4,2.50,1.67,1.50,0.00,2.50,-1.00
2,TOP_THREE,INFORMATION_GAIN,69.9941,0.1762,25,4,2.00,2.00,-1.00,0.00,2.50,1.00
2,TOP_THREE,INFORMATION_GAIN,52.5694,0.2773,52,6,1.00,0.00,3.33,2.00,2.00,3.33
2,TOP_THREE,INFORMATION_GAIN,62.8470,0.2326,35,5,1.50,3.00,2.00,1.00,0.00,2.50
2,TOP_THREE,INFORMATION_GAIN,52.5694,0.3112,70,6,1.67,2.20,0.00,1.50,3.00,2.75
