problem_name,constructive_heuristic,perturbative_heuristic,best_cost,average_cost,worst_cost
ch150.tsp,SemiGreedyCheapestInsertion,NodeShift,7081.83,7331.64,7519.06
ch150.tsp,SemiGreedyRandomInsertion,---,10114.75,10448.08,10816.69
ch150.tsp,SemiGreedyRandomInsertion,TwoOpt,7067.69,7369.95,7679.77
ch150.tsp,SemiGreedyRandomInsertion,NodeSwap,8191.80,8598.12,8895.77
ch150.tsp,SemiGreedyRandomInsertion,NodeShift,7370.90,7600.71,7804.77
ch150.tsp,MSTSimple,---,8379.47,8543.10,8706.57
ch150.tsp,MSTSimple,TwoOpt,6853.08,6958.69,7190.47
ch150.tsp,MSTSimple,NodeSwap,7648.51,7831.74,8038.39
ch150.tsp,MSTSimple,NodeShift,7185.09,7444.39,7602.15
eil101.tsp,NearestNeighbour,---,764.93,796.27,819.60
eil101.tsp,NearestNeighbour,TwoOpt,678.28,690.86,709.97
eil101.tsp,NearestNeighbour,NodeSwap,714.66,757.56,797.55
eil101.tsp,NearestNeighbour,NodeShift,694.80,706.34,714.27
eil101.tsp,SemiGreedyNearestNeighbour,---,1116.42,1163.35,1304.47
eil101.tsp,SemiGreedyNearestNeighbour,TwoOpt,676.18,701.40,720.75
eil101.tsp,SemiGreedyNearestNeighbour,NodeSwap,768.57,817.78,879.55
eil101.tsp,SemiGreedyNearestNeighbour,NodeShift,694.00,736.92,767.71
eil101.tsp,CheapestInsertion,---,706.19,727.12,742.75
eil101.tsp,CheapestInsertion,TwoOpt,685.53,697.05,715.50
eil101.tsp,CheapestInsertion,NodeSwap,689.64,707.60,724.93
eil101.tsp,CheapestInsertion,NodeShift,672.18,682.60,696.14
eil101.tsp,SemiGreedyCheapestInsertion,---,730.60,757.04,790.78
eil101.tsp,SemiGreedyCheapestInsertion,TwoOpt,674.19,689.25,707.85
eil101.tsp,SemiGreedyCheapestInsertion,NodeSwap,697.13,717.16,745.95
eil101.tsp,SemiGreedyCheapestInsertion,NodeShift,663.62,681.86,707.92
eil101.tsp,SemiGreedyRandomInsertion,---,895.13,932.35,971.50
eil101.tsp,SemiGreedyRandomInsertion,TwoOpt,677.84,694.69,708.72
eil101.tsp,SemiGreedyRandomInsertion,NodeSwap,743.46,775.48,807.56
eil101.tsp,SemiGreedyRandomInsertion,NodeShift,673.84,711.72,751.66
eil101.tsp,MSTSimple,---,827.14,845.81,863.87
eil101.tsp,MSTSimple,TwoOpt,671.55,679.67,700.72
eil101.tsp,MSTSimple,NodeSwap,717.33,743.93,780.96
eil101.tsp,MSTSimple,NodeShift,704.25,734.14,745.88
eil51.tsp,NearestNeighbour,---,508.00,563.74,585.79
eil51.tsp,NearestNeighbour,TwoOpt,441.50,454.35,463.25
eil51.tsp,NearestNeighbour,NodeSwap,473.10,502.65,516.46
eil51.tsp,NearestNeighbour,NodeShift,436.95,470.70,501.37
eil51.tsp,SemiGreedyNearestNeighbour,---,660.10,764.71,898.45
eil51.tsp,SemiGreedyNearestNeighbour,TwoOpt,436.92,454.22,478.93
eil51.tsp,SemiGreedyNearestNeighbour,NodeSwap,483.71,525.15,566.94
eil51.tsp,SemiGreedyNearestNeighbour,NodeShift,457.37,478.40,501.61
eil51.tsp,CheapestInsertion,---,480.73,490.37,505.59
eil51.tsp,CheapestInsertion,TwoOpt,445.31,456.72,470.05
eil51.tsp,CheapestInsertion,NodeSwap,462.60,471.22,480.87
eil51.tsp,CheapestInsertion,NodeShift,440.68,452.37,458.97
eil51.tsp,SemiGreedyCheapestInsertion,---,483.66,519.77,544.62
eil51.tsp,SemiGreedyCheapestInsertion,TwoOpt,438.78,456.23,465.25
eil51.tsp,SemiGreedyCheapestInsertion,NodeSwap,458.84,475.28,496.47
eil51.tsp,SemiGreedyCheapestInsertion,NodeShift,444.83,452.93,468.43
eil51.tsp,SemiGreedyRandomInsertion,---,590.88,619.96,653.10
eil51.tsp,SemiGreedyRandomInsertion,TwoOpt,441.74,456.97,465.19
eil51.tsp,SemiGreedyRandomInsertion,NodeSwap,471.01,502.29,565.94
eil51.tsp,SemiGreedyRandomInsertion,NodeShift,442.76,484.36,507.23
eil51.tsp,MSTSimple,---,604.94,622.21,652.05
eil51.tsp,MSTSimple,TwoOpt,436.74,454.25,464.46
eil51.tsp,MSTSimple,NodeSwap,517.60,545.06,559.69
eil51.tsp,MSTSimple,NodeShift,479.57,491.49,508.55
eil76.tsp,NearestNeighbour,---,612.66,666.64,735.98
eil76.tsp,NearestNeighbour,TwoOpt,571.41,581.31,600.45
eil76.tsp,NearestNeighbour,NodeSwap,611.21,635.10,656.90
eil76.tsp,NearestNeighbour,NodeShift,579.07,602.06,625.86
eil76.tsp,SemiGreedyNearestNeighbour,---,863.78,987.55,1051.37
eil76.tsp,SemiGreedyNearestNeighbour,TwoOpt,568.87,595.44,615.00
eil76.tsp,SemiGreedyNearestNeighbour,NodeSwap,637.44,683.89,723.64
eil76.tsp,SemiGreedyNearestNeighbour,NodeShift,602.46,634.53,689.01
eil76.tsp,CheapestInsertion,---,611.17,619.19,625.18
eil76.tsp,CheapestInsertion,TwoOpt,579.15,593.40,600.91
eil76.tsp,CheapestInsertion,NodeSwap,589.66,601.29,614.09
eil76.tsp,CheapestInsertion,NodeShift,568.30,579.47,587.91
eil76.tsp,SemiGreedyCheapestInsertion,---,628.90,645.53,688.60
eil76.tsp,SemiGreedyCheapestInsertion,TwoOpt,578.76,591.85,609.81
eil76.tsp,SemiGreedyCheapestInsertion,NodeSwap,590.08,609.61,627.80
eil76.tsp,SemiGreedyCheapestInsertion,NodeShift,582.37,592.28,600.08
eil76.tsp,SemiGreedyRandomInsertion,---,740.22,795.57,825.42
eil76.tsp,SemiGreedyRandomInsertion,TwoOpt,564.53,587.35,615.05
eil76.tsp,SemiGreedyRandomInsertion,NodeSwap,635.15,648.36,683.24
eil76.tsp,SemiGreedyRandomInsertion,NodeShift,587.00,611.20,652.03
eil76.tsp,MSTSimple,---,672.72,693.45,708.82
eil76.tsp,MSTSimple,TwoOpt,584.75,595.67,609.23
eil76.tsp,MSTSimple,NodeSwap,608.19,619.19,629.64
eil76.tsp,MSTSimple,NodeShift,595.32,604.86,626.69
kroA100.tsp,NearestNeighbour,---,26571.46,27529.47,28506.83
kroA100.tsp,NearestNeighbour,TwoOpt,22171.02,22799.81,23335.09
kroA100.tsp,NearestNeighbour,NodeSwap,23523.02,24622.30,25618.15
kroA100.tsp,NearestNeighbour,NodeShift,23581.23,24644.47,26091.20
kroA100.tsp,SemiGreedyNearestNeighbour,---,41009.40,45655.57,49350.73
kroA100.tsp,SemiGreedyNearestNeighbour,TwoOpt,21990.80,23050.48,25393.50
kroA100.tsp,SemiGreedyNearestNeighbour,NodeSwap,26780.70,29265.09,34777.13
kroA100.tsp,SemiGreedyNearestNeighbour,NodeShift,24536.58,27110.90,29476.93
kroA100.tsp,CheapestInsertion,---,23962.68,25340.91,26228.31
kroA100.tsp,CheapestInsertion,TwoOpt,22529.25,23346.27,23884.27
kroA100.tsp,CheapestInsertion,NodeSwap,23654.85,23999.23,24356.48
kroA100.tsp,CheapestInsertion,NodeShift,22139.75,22786.28,23180.35
kroA100.tsp,SemiGreedyCheapestInsertion,---,27428.91,28691.31,29343.06
kroA100.tsp,SemiGreedyCheapestInsertion,TwoOpt,22825.07,23489.28,23990.81
kroA100.tsp,SemiGreedyCheapestInsertion,NodeSwap,24073.67,25922.06,27590.55
kroA100.tsp,SemiGreedyCheapestInsertion,NodeShift,23042.88,24192.93,25524.18
kroA100.tsp,SemiGreedyRandomInsertion,---,33756.47,34586.02,35561.78
kroA100.tsp,SemiGreedyRandomInsertion,TwoOpt,22192.09,23121.24,24239.61
kroA100.tsp,SemiGreedyRandomInsertion,NodeSwap,26853.85,28053.91,29664.41
kroA100.tsp,SemiGreedyRandomInsertion,NodeShift,22910.21,25076.84,25886.38
kroA100.tsp,MSTSimple,---,26472.55,27339.20,27750.38
kroA100.tsp,MSTSimple,TwoOpt,22533.55,22988.56,23365.86
kroA100.tsp,MSTSimple,NodeSwap,24879.82,25457.26,26003.59
kroA100.tsp,MSTSimple,NodeShift,24212.57,24618.43,25100.12
kroB100.tsp,NearestNeighbour,---,26498.26,27892.67,29074.13
kroB100.tsp,NearestNeighbour,TwoOpt,22706.74,23138.68,23476.34
kroB100.tsp,NearestNeighbour,NodeSwap,25615.97,27232.19,28853.38
kroB100.tsp,NearestNeighbour,NodeShift,24764.60,25728.22,27423.78
kroB100.tsp,SemiGreedyNearestNeighbour,---,41806.89,45854.71,53239.66
kroB100.tsp,SemiGreedyNearestNeighbour,TwoOpt,23583.18,24344.01,25077.41
kroB100.tsp,SemiGreedyNearestNeighbour,NodeSwap,28269.65,30656.16,33114.97
kroB100.tsp,SemiGreedyNearestNeighbour,NodeShift,25853.09,28087.09,30634.76
kroB100.tsp,CheapestInsertion,---,24777.03,25237.24,26065.49
kroB100.tsp,CheapestInsertion,TwoOpt,23209.17,23754.91,24085.48
kroB100.tsp,CheapestInsertion,NodeSwap,24349.16,24618.86,25639.22
kroB100.tsp,CheapestInsertion,NodeShift,23940.24,24178.87,24546.82
kroB100.tsp,SemiGreedyCheapestInsertion,---,27068.20,28633.85,29834.34
kroB100.tsp,SemiGreedyCheapestInsertion,TwoOpt,23133.79,24081.48,24571.54
kroB100.tsp,SemiGreedyCheapestInsertion,NodeSwap,24519.87,25971.71,27356.10
